,,,,,,,
,#,Bucket,Question,Category,Why This Question Matters,MVP Answer (Internal Tool),Post-MVP Answer (Full SaaS & Platform)
,1,Signal Creation & Lifecycle,Are signals global/shared or private to each organisation?,Signal Ownership,"This determines whether one signal definition can be reused across many customers or whether each workspace has its own “copy.” It affects database design (tenant scoping), compute reuse, and how personalization works. Getting this wrong early can cause painful refactors later when you introduce multi-tenancy and marketplaces.","Private to each workspace. In MVP, every signal definition lives inside a single GL client workspace. You treat signals as part of that client’s configuration, not as global assets. This keeps things simple and avoids cross-tenant complexity while you’re still discovering what a “good” signal looks like.","Still private at the data level, but templated globally. You introduce global “signal templates” and vertical packs, but each workspace installs/overrides them, creating a tenant-specific instance. No signal instance is shared across orgs, only the template metadata is."
,2,Signal Creation & Lifecycle,Can a business create custom signal types?,Customization,"This decides whether your system is a fixed catalogue of signals (like a productized BirdDog) or a flexible engine teams can extend. It influences the UX, prompt design, and schema (rigid vs dynamic). Without custom signals, enterprise or niche verticals will quickly hit a ceiling.","Yes, but via simple admin UI / config panels. MVP lets user define custom signals using simple structured fields (name, description, logic fields, example phrases). No fancy visual builders; just basic forms ","Yes, with a richer “signal builder” UI a. Later, users can define custom signals using a proper builder and natural language"
,3,Signal Creation & Lifecycle,"If two businesses create the same custom signal, do we duplicate it?",Deduplication,"If every similar signal is stored separately, you may end up with thousands of near-identical definitions, making maintenance harder. On the other hand, aggressively deduping can over-couple very different customers. You need a clear conceptual separation between global templates and workspace instances.","Treat as separate, duplicated definitions. In MVP, custom signals are entirely workspace-scoped, even if they look similar. You optimise for simplicity and avoid any cross-workspace logic or global catalog responsibilities.","Template-level deduplication, instance-level separation. You later introduce a “template ID” for similar signals and treat each workspace’s configuration as a derivative instance. Templates can be updated centrally, but each workspace has override capabilities."
,4,Signal Creation & Lifecycle,What is the lifecycle of a signal?,Signal Lifecycle,"Developers need a state diagram to avoid spaghetti logic. Without a defined lifecycle, you’ll end up with ad hoc flags and bugs (e.g., stale signals, half-created signals). Product decisions like “can we archive?” or “do we support drafts?” all hang off this.","Simple lifecycle: Created → Active → Archived. In MVP, a signal is created (definition stored), then immediately participates in future ingestion runs and on previous 90 day store source data.","Full lifecycle: Draft → Active → Updating → Deprecated → Archived. Later, you add draft mode, versioned updates (while still active), and explicit deprecation/archival states, with audit history and analytics around usage."
,5,Signal Creation & Lifecycle,Are signals static or dynamic (recomputed as data changes)?,Computation Strategy,"Dynamic signals are more powerful but more expensive (compute/LLM) and harder to reason about. Static signals are cheaper but may become stale. This decision touches ingestion pipelines, caching, and cost modeling.",Dynamic based-off a predefined run schedule,"Dynamic with incremental updates. Later, you support event-driven updates – when a source changes or new context appears, the signal object is updated (e.g., status, stage) and those changes are visible in timelines and alerts."
,6,Signal Creation & Lifecycle,What happens when a source changes after a signal was already emitted?,Source–Signal Linking,"If a tender is amended, canceled, or updated, your signal needs to reflect that or it becomes misleading. Handling deltas is more complex than just re-scraping and overwriting.",Re-evaluated only on next scheduled run. MVP does not track diffs; it just treats the latest scrape as the truth and updates the signal’s core fields on the next cycle. Internal GL users understand that this is a batch system.,"Incremental updates with change tracking. In the platform, you track version changes and emit updates (e.g., “tender extended” or “value increased”). You may show a timeline of changes, and notifications can be triggered when key fields change."
,7,Signal Creation & Lifecycle,Is “Why It Matters” regenerated every time new data appears?,LLM Cost Model,This is one of the biggest levers in your cost and response time. Regenerating on every source change can explode token usage; never regenerating can make explanations stale or wrong.,"Generated once per signal at first creation. For MVP, WIM is created when the signal is first formed and is not automatically re-run unless you explicitly trigger it in internal tools. This keeps LLM usage predictable and low.","Regenerated conditionally based on material changes. Later, you implement change thresholds (e.g., new stage, new project value) where WIM is updated and a new version is stored. For minor changes, the old WIM is reused."
,8,Signal Creation & Lifecycle,Should signals include historical snapshots or only show the latest state?,History & Audit,"History supports “what changed when,” campaign retros, and compliance questions. It increases storage and complexity but is invaluable for analytics and trust.",Supports the last 90 days of source data,"Yes, with structured event history. Post-MVP, each material update generates a new event or revision: created, updated, closed, etc. Timelines appear in the UI so users can see signal evolution."
,9,Signal Creation & Lifecycle,"Can two signals conflict (e.g., one says “great opportunity,” another “high risk”)?",Consistency & UX,"Conflicting signals can confuse users and make them distrust the system. You need some rules around precedence, visibility, or labelling so reps know which one to act on.","MVP: allow conflict, rely on human interpretation. You don’t try to solve conflict resolution at the system level initially; users are expected to interpret conflicting cues.","Introduce conflict detection and resolution heuristics. Later, you add label rules (e.g., negative risk flags visually override some positive ones, or you surface a “mixed signal” status with explanation)."
,10,Signal Creation & Lifecycle,How should signals be sorted by default in the feed?,Prioritisation Logic,"Default sort heavily influences how users experience the product and what they actually work on. It must align with business value (e.g., recency + relevance) not just “latest scraped.”","Sort by recency + a simple “importance” score (e.g., recency + high/medium/low). MVP uses a very basic formula; internal GL can also manually filter to refine.","Use a composite score (recency × relevance × ICP fit × impact). Later, you implement a proper scoring model and allow user-configurable sort options and presets, including vertical-specific rankers."
,11,Signal Personalization (Why It Matters),Is “Why It Matters” business-specific or shared?,Personalisation Strategy,"If WIM is always generic, you’re just a data scraper. If it’s business-specific, you become a strategic co-pilot. This affects whether you must store per-org WIM and how LLM prompts look.","Business-specific per workspace. For MVP, each workspace gets WIM generated using that company’s website + high-level context so even internal GL-only usage reflects client strategy.","Richer per-business WIM using deeper context. Post-MVP, WIM incorporates ICP definitions, vertical packs, and maybe CRM information to explain “why it matters specifically for your go-to-market motion.”"
,12,Signal Personalization (Why It Matters),What business context is used to personalize WIM?,Context Model,"You can plug in basic context (website text) or richer structured data (ICP filters, target personas, solution areas). More context = better relevance but more data modelling.","Use website, industry, and a short “about this client” field. MVP scrapes the company’s website and the simple ""company details"" onboarding form information","Add ICP, buyer personas, product lines, geographic focus, and campaign goals. The platform will support a richer “account config” model that informs WIM and action suggestions."
,13,Signal Personalization (Why It Matters),Does WIM depend on vertical packs?,Vertical Intelligence,"Vertical packs allow you to encode specialised logic (e.g., construction, healthcare). If WIM doesn’t leverage these, you’re underusing that future asset.",No vertical pack logic initially. MVP uses generic reasoning; any industry nuance is injected manually by GL via context.,"Yes – vertical packs adjust language, key fields, and “why it matters” framing. For example, a healthcare pack emphasises compliance and patient throughput; a construction pack emphasises project timeline and capex."
